"ServiceName","DisplayName","ServiceCategory","StartType","ExpectedStatus"
"drs","Device Registration Service","Role","Automatic","Running"
"Eaphost","Extensible Authentication Protocol","Role","Automatic","Running"
"Fax","Fax","Role","Automatic","Running"
"fdPHost","Function Discovery Provider Host","Role","Automatic","Running"
"FDResPub","Function Discovery Resource Publication","Role","Automatic","Running"
"fssagent","Microsoft File Server Shadow Copy Agent Service","Role","Automatic","Running"
"hkmsvc","Health Key and Certificate Management","Role","Automatic","Running"
"IAS","Network Policy Server","Role","Automatic","Running"
"IISADMIN","IIS Admin Service","Role","Automatic","Running"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Role","Automatic","Running"
"IsmServ","Intersite Messaging","Role","Automatic","Running"
"Kdc","Kerberos Key Distribution Center","Role","Automatic","Running"
"KdsSvc","Microsoft Key Distribution Service","Role","Automatic","Running"
"KeyIso","CNG Key Isolation","Role","Automatic","Running"
"KPSSVC","KDC Proxy Server service (KPS)","Role","Automatic","Running"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Role","Automatic","Running"
"LPDSVC","LPD Service","Role","Automatic","Running"
"MMCSS","Multimedia Class Scheduler","Role","Automatic","Running"
"MSDTC","Distributed Transaction Coordinator","Role","Automatic","Running"
"MSiSCSI","Microsoft iSCSI Initiator Service","Role","Automatic","Running"
"MSiSNS","Microsoft iSNS Server","Role","Automatic","Running"
"MSMQ","Message Queuing","Role","Automatic","Running"
"MSMQTriggers","Message Queuing Triggers","Role","Automatic","Running"
"MSSQL$MICROSOFT##WID","Windows Internal Database","Role","Automatic","Running"
"MSStrgSvc","Windows Standards-Based Storage Management","Role","Automatic","Running"
"NetMsmqActivator","Net.Msmq Listener Adapter","Role","Automatic","Running"
"NetPipeActivator","Net.Pipe Listener Adapter","Role","Automatic","Running"
"NetTcpActivator","Net.Tcp Listener Adapter","Role","Automatic","Running"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Role","Automatic","Running"
"NfsService","Server for NFS","Role","Automatic","Running"
"NtFrs","File Replication","Role","Automatic","Running"
"OcspSvc","Online Responder Service","Role","Automatic","Running"
"PeerDistSvc","BranchCache","Role","Automatic","Running"
"PNRPAutoReg","PNRP Machine Name Publication Service","Role","Automatic","Running"
"PNRPsvc","Peer Name Resolution Protocol","Role","Automatic","Running"
"PrintNotify","Printer Extensions and Notifications","Role","Automatic","Running"
"RaMgmtSvc","Remote Access Management service","Role","Automatic","Running"
"RasAuto","Remote Access Auto Connection Manager","Role","Automatic","Running"
"RasMan","Remote Access Connection Manager","Role","Automatic","Running"
"RDMS","Remote Desktop Management","Role","Automatic","Running"
"RemoteAccess","Routing and Remote Access","Role","Automatic","Running"
"RPCHTTPLBS","RPC/HTTP Load Balancing Service","Role","Automatic","Running"
"RpcLocator","Remote Procedure Call (RPC) Locator","Role","Automatic","Running"
"rqs","Remote Access Quarantine Agent","Role","Automatic","Running"
"SessionEnv","Remote Desktop Configuration","Role","Automatic","Running"
"simptcp","Simple TCP/IP Services","Role","Automatic","Running"
"SmbHash","SMB Hash Generation Service","Role","Automatic","Running"
"SmbWitness","SMB Witness","Role","Automatic","Running"
"smphost","Microsoft Storage Spaces SMP","Role","Automatic","Running"
"SMTPSVC","Simple Mail Transfer Protocol (SMTP)","Role","Automatic","Running"
"SNMP","SNMP Service","Role","Automatic","Running"
"SrmReports","File Server Storage Reports Manager","Role","Automatic","Running"
"SrmSvc","File Server Resource Manager","Role","Automatic","Running"
"SstpSvc","Secure Socket Tunneling Protocol Service","Role","Automatic","Running"
"stisvc","Windows Image Acquisition (WIA)","Role","Automatic","Running"
"StorSvc","Storage Service","Role","Automatic","Running"
"svsvc","Spot Verifier","Role","Automatic","Running"
"SyncShareSvc","Windows Sync Share","Role","Automatic","Running"
"SyncShareTTSvc","Sync Share Token Translation Service","Role","Automatic","Running"
"TapiSrv","Telephony","Role","Automatic","Running"
"TermService","Remote Desktop Services","Role","Automatic","Running"
"TermServLicensing","Remote Desktop Licensing","Role","Automatic","Running"
"THREADORDER","Thread Ordering Server","Role","Automatic","Running"
"TieringEngineService","Storage Tiers Management","Role","Automatic","Running"
"TimeBroker","Time Broker","Role","Automatic","Running"
"TlntSvr","Telnet","Role","Automatic","Running"
"TPAutoConnSvc","TP AutoConnect Service","Role","Automatic","Running"
"TPVCGateway","TP VC Gateway Service","Role","Automatic","Running"
"TrkWks","Distributed Link Tracking Client","Role","Automatic","Running"
"TScPubRPC","RemoteApp and Desktop Connection Management","Role","Automatic","Running"
"TSGateway","Remote Desktop Gateway","Role","Automatic","Running"
"Tssdis","Remote Desktop Connection Broker","Role","Automatic","Running"
"UI0Detect","Interactive Services Detection","Role","Automatic","Running"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Role","Automatic","Running"
"w3logsvc","W3C Logging Service","Role","Automatic","Running"
"W3SVC","World Wide Web Publishing Service","Role","Automatic","Running"
"WAS","Windows Process Activation Service","Role","Automatic","Running"
"wbengine","Block Level Backup Engine Service","Role","Automatic","Running"
"WbioSrvc","Windows Biometric Service","Role","Automatic","Running"
"WDSServer","Windows Deployment Services Server","Role","Automatic","Running"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Role","Automatic","Running"
"wercplsupport","Problem Reports and Solutions Control Panel Support","Role","Automatic","Running"
"WerSvc","Windows Error Reporting Service","Role","Automatic","Running"
"WFFSvc","Windows Feedback Forwarder Service","Role","Automatic","Running"
"WiaRpc","Still Image Acquisition Events","Role","Automatic","Running"
"WIDWriter","Windows Internal Database VSS Writer","Role","Automatic","Running"
"WinTarget","Microsoft iSCSI Software Target","Role","Automatic","Running"
"WSusCertServer","WSUS Certificate Server","Role","Automatic","Running"
"WsusService","WSUS Service","Role","Automatic","Running"
"AeLookupSvc","Application Experience","Supporting","Automatic","Running"
"AppHostSvc","Application Host Helper Service","Supporting","Automatic","Running"
"AppIDSvc","Application Identity","Supporting","Automatic","Running"
"Appinfo","Application Information","Supporting","Automatic","Running"
"AppMgmt","Application Management","Supporting","Automatic","Running"
"aspnet_state","ASP.NET State Service","Supporting","Automatic","Running"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Supporting","Automatic","Running"
"Audiosrv","Windows Audio","Supporting","Automatic","Running"
"AxInstSV","ActiveX Installer (AxInstSV)","Supporting","Automatic","Running"
"BDESVC","BitLocker Drive Encryption Service","Supporting","Automatic","Running"
"Browser","Computer Browser","Supporting","Automatic","Running"
"CertPropSvc","Certificate Propagation","Supporting","Automatic","Running"
"CryptSvc","Cryptographic Services","Supporting","Automatic","Running"
"CscService","Offline Files","Supporting","Automatic","Running"
"defragsvc","Optimize drives","Supporting","Automatic","Running"
"DeviceAssociationService","Device Association Service","Supporting","Automatic","Running"
"DeviceInstall","Device Install Service","Supporting","Automatic","Running"
"Dhcp","DHCP Client","Supporting","Automatic","Running"
"DiagTrack","Diagnostics Tracking Service","Supporting","Automatic","Running"
"FontCache","Windows Font Cache Service","Supporting","Automatic","Running"
"gpsvc","Group Policy Client","Supporting","Automatic","Running"
"IEEtwCollectorService","Internet Explorer ETW Collector Service","Supporting","Automatic","Running"
"lmhosts","TCP/IP NetBIOS Helper","Supporting","Automatic","Running"
"napagent","Network Access Protection Agent","Supporting","Automatic","Running"
"NcaSvc","Network Connectivity Assistant","Supporting","Automatic","Running"
"NcbService","Network Connection Broker","Supporting","Automatic","Running"
"Netman","Network Connections","Supporting","Automatic","Running"
"netprofm","Network List Service","Supporting","Automatic","Running"
"NlaSvc","Network Location Awareness","Supporting","Automatic","Running"
"nsi","Network Store Interface Service","Supporting","Automatic","Running"
"p2pimsvc","Peer Networking Identity Manager","Supporting","Automatic","Running"
"PerfHost","Performance Counter DLL Host","Supporting","Automatic","Running"
"PlugPlay","Plug and Play","Supporting","Automatic","Running"
"PolicyAgent","IPsec Policy Agent","Supporting","Automatic","Running"
"QWAVE","Quality Windows Audio Video Experience","Supporting","Automatic","Running"
"RemoteRegistry","Remote Registry","Supporting","Automatic","Running"
"RSoPProv","Resultant Set of Policy Provider","Supporting","Automatic","Running"
"sacsvr","Special Administration Console Helper","Supporting","Automatic","Running"
"SCardSvr","Smart Card","Supporting","Automatic","Running"
"ScDeviceEnum","Smart Card Device Enumeration Service","Supporting","Automatic","Running"
"SCPolicySvc","Smart Card Removal Policy","Supporting","Automatic","Running"
"seclogon","Secondary Logon","Supporting","Automatic","Running"
"SENS","System Event Notification Service","Supporting","Automatic","Running"
"SharedAccess","Internet Connection Sharing (ICS)","Supporting","Automatic","Running"
"ShellHWDetection","Shell Hardware Detection","Supporting","Automatic","Running"
"Spooler","Print Spooler","Supporting","Automatic","Running"
"sppsvc","Software Protection","Supporting","Automatic","Running"
"SSDPSRV","SSDP Discovery","Supporting","Automatic","Running"
"swprv","Microsoft Software Shadow Copy Provider","Supporting","Automatic","Running"
"SystemEventsBroker","System Events Broker","Supporting","Automatic","Running"
"Themes","Themes","Supporting","Automatic","Running"
"VaultSvc","Credential Manager","Supporting","Automatic","Running"
"vds","Virtual Disk","Supporting","Automatic","Running"
"vmicguestinterface","Hyper-V Guest Service Interface","Supporting","Automatic","Running"
"vmickvpexchange","Hyper-V Data Exchange Service","Supporting","Automatic","Running"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Supporting","Automatic","Running"
"W32Time","Windows Time","Supporting","Automatic","Running"
"Wcmsvc","Windows Connection Manager","Supporting","Automatic","Running"
"WcsPlugInService","Windows Color System","Supporting","Automatic","Running"
"WdiServiceHost","Diagnostic Service Host","Supporting","Automatic","Running"
"WdiSystemHost","Diagnostic System Host","Supporting","Automatic","Running"
"WebClient","WebClient","Supporting","Automatic","Running"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Supporting","Automatic","Running"
"wlidsvc","Microsoft Account Sign-in Assistant","Supporting","Automatic","Running"
"wmiApSrv","WMI Performance Adapter","Supporting","Automatic","Running"
"WPDBusEnum","Portable Device Enumerator Service","Supporting","Automatic","Running"
"WSearch","Windows Search","Supporting","Automatic","Running"
"WSService","Windows Store Service (WSService)","Supporting","Automatic","Running"
"wuauserv","Windows Update","Supporting","Automatic","Running"
"wudfsvc","Windows Driver Foundation - User-mode Driver Framework","Supporting","Automatic","Running"
"BFE","Base Filtering Engine","System","Automatic","Running"
"BrokerInfrastructure","Background Tasks Infrastructure Service","System","Automatic","Running"
"DcomLaunch","DCOM Server Process Launcher","System","Automatic","Running"
"LSM","Local Session Manager","System","Automatic","Running"
"Power","Power","System","Automatic","Running"
"SamSs","Security Accounts Manager","System","Automatic","Running"
"Schedule","Task Scheduler","System","Automatic","Running"
"WinDefend","Windows Defender Service","System","Automatic","Running"
